height,latency,throughput,/media/nvme/cxy_test/qmdb/data,/media/nvme/cxy_test/qmdb/data/ADS-0,/media/nvme/cxy_test/qmdb/data/ADS-0/metadb,/media/nvme/cxy_test/qmdb/data/ADS-0/data
1,53184,3760529.482551143,5767304,5767304,136,5767168
2,38602,5181078.700585461,5767304,5767304,136,5767168
3,25448600,7858.978489975873,8197776,8197776,272,8197504
4,13866851,14422.885195780931,10437776,10437776,272,10437504
5,11557896,17304.187544168937,12677776,12677776,272,12677504
6,10067274,19866.35110954564,14917776,14917776,272,14917504
7,16407822,12189.308245786675,17157776,17157776,272,17157504
8,18853100,10608.334968784975,19397776,19397776,272,19397504
9,23026940,8685.478834790902,21637776,21637776,272,21637504
10,16499254,12121.760171702308,23877776,23877776,272,23877504
11,11251964,17774.674714565386,26117776,26117776,272,26117504
12,16441856,12164.076853610686,28357776,28357776,272,28357504
13,18626525,10737.3758658687,30597776,30597776,272,30597504
14,16684157,11987.420161534083,32837776,32837776,272,32837504
15,12998909,15385.906617239954,35077776,35077776,272,35077504
16,15369438,13012.837554632772,37317776,37317776,272,37317504
17,12493637,16008.148788059072,39557776,39557776,272,39557504
18,17125484,11678.502049927465,41797776,41797776,272,41797504
19,13147869,15211.590562698793,44037776,44037776,272,44037504
20,17678715,11313.039437538304,46277776,46277776,272,46277504
21,14465398,13826.097284015275,48517776,48517776,272,48517504
22,16915700,11823.335717706035,50757776,50757776,272,50757504
23,17547190,11397.836348725923,52997776,52997776,272,52997504
24,16803270,11902.445178825312,55237776,55237776,272,55237504
25,11526867,17350.76842649438,57477776,57477776,272,57477504
26,15674469,12759.602893086842,59717776,59717776,272,59717504
27,12686977,15764.19662461751,61957776,61957776,272,61957504
28,12148624,16462.76977540831,64197776,64197776,272,64197504
29,17592793,11368.291549840891,66437776,66437776,272,66437504
30,17317977,11548.69301420137,68677776,68677776,272,68677504
31,23627581,8464.683710109808,70917776,70917776,272,70917504
32,21986932,9096.312300415539,73157776,73157776,272,73157504
33,15715942,12725.931414101682,75397776,75397776,272,75397504
34,15732084,12712.873895155912,77637776,77637776,272,77637504
35,16813242,11895.385791746767,79877776,79877776,272,79877504
36,15112674,13233.925379453034,82117776,82117776,272,82117504
37,18008768,11105.701400562215,84357776,84357776,272,84357504
38,21385011,9352.344967229617,86597776,86597776,272,86597504
39,17561823,11388.339354063643,88837776,88837776,272,88837504
40,18904845,10579.298587214018,91077776,91077776,272,91077504
41,14326669,13959.979113079251,93317776,93317776,272,93317504
42,18941706,10558.711026345778,95557776,95557776,272,95557504
43,16356274,12227.72374686313,97797776,97797776,272,97797504
44,16898837,11835.133979930097,100037776,100037776,272,100037504
45,18680372,10706.424904172143,102277776,102277776,272,102277504
46,24010012,8329.858394073273,104517776,104517776,272,104517504
47,15995336,12503.644812462833,106757776,106757776,272,106757504
48,6674456,29964.988906961105,108997776,108997776,272,108997504
49,21072295,9491.135161120324,111237776,111237776,272,111237504
50,15324390,13051.090451234928,113477776,113477776,272,113477504
51,17165567,11651.231794440579,115717776,115717776,272,115717504
52,14873417,13446.809162951593,117957776,117957776,272,117957504
53,21182020,9441.970123718134,120197776,120197776,272,120197504
54,15125385,13222.803915404467,122437776,122437776,272,122437504
