height,latency,throughput,/media/nvme/cxy_test/qmdb/data,/media/nvme/cxy_test/qmdb/data/ADS-0,/media/nvme/cxy_test/qmdb/data/ADS-0/metadb,/media/nvme/cxy_test/qmdb/data/ADS-0/data
1,69592,7184733.877457179,5767304,5767304,136,5767168
2,81443,6139263.042864335,5767304,5767304,136,5767168
3,44887721,11138.903665882257,11886288,11886288,272,11886016
4,43755154,11427.22523614018,17486288,17486288,272,17486016
5,25440006,19654.083414917433,23086288,23086288,272,23086016
6,42037082,11894.260405610456,28686288,28686288,272,28686016
7,35997294,13889.932948848877,34286288,34286288,272,34286016
8,33294563,15017.466966002828,39886288,39886288,272,39886016
9,37335975,13391.909545686165,45486288,45486288,272,45486016
10,31941509,15653.612357512602,51086288,51086288,272,51086016
11,28566524,17503.00456576376,56686288,56686288,272,56686016
12,36090625,13854.013334487834,62286288,62286288,272,62286016
13,30501378,16392.701995300016,67886288,67886288,272,67886016
14,39632241,12615.991106836476,73486288,73486288,272,73486016
15,27851368,17952.439535465546,79086288,79086288,272,79086016
16,36339293,13759.211000610276,84686288,84686288,272,84686016
17,42195014,11849.741298817913,90286288,90286288,272,90286016
18,31344176,15951.926763045229,95886288,95886288,272,95886016
19,34493341,14495.55147470348,101486288,101486288,272,101486016
20,35604055,14043.344220201885,107086288,107086288,272,107086016
21,39246611,12739.953521082369,112686288,112686288,272,112686016
22,32060516,15595.506946924996,118286288,118286288,272,118286016
23,25385203,19696.513752519528,123886288,123886288,272,123886016
24,26362894,18966.051299223825,129486288,129486288,272,129486016
25,26355210,18971.58095116677,135086288,135086288,272,135086016
26,37510897,13329.459969992187,140686288,140686288,272,140686016
27,26367131,18963.003597168004,146286288,146286288,272,146286016
28,26715369,18715.818598650087,151886288,151886288,272,151886016
29,26105547,19153.017556000646,157486288,157486288,272,157486016
30,31718786,15763.528906812513,163086288,163086288,272,163086016
31,33464711,14941.112146463778,168686288,168686288,272,168686016
32,36673641,13633.77036929603,174286288,174286288,272,174286016
33,35505708,14082.242776288253,179886288,179886288,272,179886016
34,37190314,13444.360808569672,185486288,185486288,272,185486016
35,32205147,15525.468646362644,191086288,191086288,272,191086016
36,27194575,18386.020005828366,196686288,196686288,272,196686016
37,33698438,14837.482971762667,202286288,202286288,272,202286016
38,27846922,17955.305796453915,207886288,207886288,272,207886016
39,35578886,14053.278677696655,213486288,213486288,272,213486016
40,43447711,11508.086122189497,219086288,219086288,272,219086016
41,37125843,13467.707655823464,224686288,224686288,272,224686016
42,32485934,15391.276729183777,230286288,230286288,272,230286016
43,37415470,13363.45634573079,235886288,235886288,272,235886016
44,32080846,15585.623895329942,241486288,241486288,272,241486016
45,29463461,16970.171969952884,247086288,247086288,272,247086016
46,37140782,13462.290589358081,252686288,252686288,272,252686016
47,32581696,15346.039690505984,258286288,258286288,272,258286016
48,35961441,13903.780996985077,263886288,263886288,272,263886016
49,30738986,16265.98873495697,269486288,269486288,272,269486016
50,28086082,17802.411885004112,275086288,275086288,272,275086016
51,44636223,11201.664621130689,280686288,280686288,272,280686016
52,35830726,13954.503740728,286286288,286286288,272,286286016
53,24338699,20543.41524171033,291886288,291886288,272,291886016
54,26501827,18866.623799181845,297486288,297486288,272,297486016
55,31768014,15739.101600748478,303086288,303086288,272,303086016
56,36404428,13734.592945671333,308686288,308686288,272,308686016
57,40811137,12251.557705927184,314286288,314286288,272,314286016
58,37703953,13261.208977212547,319886288,319886288,272,319886016
59,30541123,16371.369186391737,325486288,325486288,272,325486016
60,27056967,18479.528766103016,331086288,331086288,272,331086016
61,40349778,12391.641906926972,336686288,336686288,272,336686016
62,28536121,17521.652645080947,342286288,342286288,272,342286016
63,42562367,11747.466958310848,347886288,347886288,272,347886016
64,30874454,16194.618372846367,353486288,353486288,272,353486016
65,38720399,12913.090074304246,359086288,359086288,272,359086016
66,38953047,12835.96633660006,364686288,364686288,272,364686016
67,27006648,18513.959970152533,370286288,370286288,272,370286016
68,29080217,17193.819427138387,375886288,375886288,272,375886016
69,37486608,13338.096634403411,381486288,381486288,272,381486016
70,31314692,15966.946122286625,387086288,387086288,272,387086016
71,36882918,13556.411127774652,392686288,392686288,272,392686016
72,26215210,19072.89699376812,398286288,398286288,272,398286016
73,36176986,13820.941302296436,403886288,403886288,272,403886016
74,37706590,13260.281558210381,409486288,409486288,272,409486016
75,26100491,19156.72774125207,415086288,415086288,272,415086016
76,38699454,12920.07892411092,420686288,420686288,272,420686016
77,25529145,19585.45811072012,426286288,426286288,272,426286016
78,34331706,14563.79709181944,431886288,431886288,272,431886016
79,39465666,12669.240144078653,437486288,437486288,272,437486016
80,36513826,13693.44313575904,443086288,443086288,272,443086016
81,25915038,19293.81697221513,448686288,448686288,272,448686016
82,34009159,14701.921914623057,454286288,454286288,272,454286016
83,38514826,12982.013731543277,459886288,459886288,272,459886016
84,26706053,18722.34732702732,465486288,465486288,272,465486016
85,38579691,12960.18674695969,471086288,471086288,272,471086016
86,35234821,14190.507736650627,476686288,476686288,272,476686016
87,36239060,13797.267368414081,482286288,482286288,272,482286016
88,36969591,13524.628930842107,487886288,487886288,272,487886016
89,33814497,14786.55737508087,493486288,493486288,272,493486016
90,28956576,17267.234910646894,499086288,499086288,272,499086016
91,33972128,14717.947606932365,504686288,504686288,272,504686016
92,37506190,13331.13280767788,510286288,510286288,272,510286016
93,36250649,13792.856508582783,515886288,515886288,272,515886016
94,34889256,14331.059395476934,521486288,521486288,272,521486016
95,40237552,12426.203264055428,527086288,527086288,272,527086016
96,35590149,14048.831321273761,532686288,532686288,272,532686016
97,32631903,15322.42848356101,538286288,538286288,272,538286016
98,41406111,12075.512235379942,543886288,543886288,272,543886016
99,31176984,16037.471745182278,549486288,549486288,272,549486016
100,36051718,13868.964580273261,555086288,555086288,272,555086016
101,35547747,14065.589023124307,560686288,560686288,272,560686016
