height,latency,throughput,/media/nvme/cxy_test/qmdb/data,/media/nvme/cxy_test/qmdb/data/ADS-0,/media/nvme/cxy_test/qmdb/data/ADS-0/metadb,/media/nvme/cxy_test/qmdb/data/ADS-0/data
1,16412,6093102.607847917,5767304,5767304,136,5767168
2,13294,7522190.461862494,5767304,5767304,136,5767168
3,25284034,3955.0650817824403,6978512,6978512,272,6978240
4,6755654,14802.41587268975,8098512,8098512,272,8098240
5,5209775,19194.686910663127,9218512,9218512,272,9218240
6,16792217,5955.139812688223,10338512,10338512,272,10338240
7,13561833,7373.6345227079555,11458512,11458512,272,11458240
8,15137387,6606.159966710239,12578512,12578512,272,12578240
9,16531578,6049.029318314319,13698512,13698512,272,13698240
10,3710424,26951.097772114455,14818512,14818512,272,14818240
11,2964870,33728.291628300736,15938512,15938512,272,15938240
12,4145796,24120.820223667542,17058512,17058512,272,17058240
13,12905528,7748.617491667137,18178512,18178512,272,18178240
14,10327338,9683.037390661562,19298512,19298512,272,19298240
15,12465442,8022.178435389616,20418512,20418512,272,20418240
16,16498411,6061.189771548302,21538512,21538512,272,21538240
17,16293356,6137.471003518243,22658512,22658512,272,22658240
18,12965776,7712.612033402398,23778512,23778512,272,23778240
19,13375847,7476.162070334686,24898512,24898512,272,24898240
20,13783303,7255.15502343669,26018512,26018512,272,26018240
21,12959850,7716.138689876811,27138512,27138512,272,27138240
22,15838753,6313.628351928968,28258512,28258512,272,28258240
23,7647994,13075.324065369297,29378512,29378512,272,29378240
24,11768619,8497.173712565595,30498512,30498512,272,30498240
25,4707685,21241.863038839685,31618512,31618512,272,31618240
26,10776305,9279.618570558276,32738512,32738512,272,32738240
27,14607319,6845.883217858116,33858512,33858512,272,33858240
28,5588946,17892.46129771159,34978512,34978512,272,34978240
29,12749364,7843.528508559329,36098512,36098512,272,36098240
30,5674125,17623.862710109486,37218512,37218512,272,37218240
31,6023541,16601.53056150859,38338512,38338512,272,38338240
32,3835315,26073.47766741454,39458512,39458512,272,39458240
33,2609192,38326.041165234295,40578512,40578512,272,40578240
34,11849212,8439.379766350708,41698512,41698512,272,41698240
35,10907628,9167.8960815312,42818512,42818512,272,42818240
36,13669397,7315.611654266827,43938512,43938512,272,43938240
37,12633473,7915.479773455803,45058512,45058512,272,45058240
38,13767282,7263.597854681847,46178512,46178512,272,46178240
39,13088203,7640.4682904138945,47298512,47298512,272,47298240
40,13947291,7169.851120192445,48418512,48418512,272,48418240
41,11429322,8749.42538148807,49538512,49538512,272,49538240
42,6998231,14289.325402376688,50658512,50658512,272,50658240
43,4863550,20561.112767422972,51778512,51778512,272,51778240
44,4060833,24625.489400819977,52898512,52898512,272,52898240
45,5099939,19608.07766524266,54018512,54018512,272,54018240
46,1420225,70411.37847876217,55138512,55138512,272,55138240
47,13469003,7424.454504910274,56258512,56258512,272,56258240
48,4547030,21992.37744197861,57378512,57378512,272,57378240
49,12441266,8037.76721758059,58498512,58498512,272,58498240
50,13148386,7605.4962183191155,59618512,59618512,272,59618240
51,12406408,8060.35074777486,60738512,60738512,272,60738240
52,11136253,8979.681047117016,61858512,61858512,272,61858240
53,11040238,9057.775747225738,62978512,62978512,272,62978240
54,11635395,8594.465422102128,64098512,64098512,272,64098240
55,6102404,16386.984539207824,65218512,65218512,272,65218240
56,8031867,12450.405366523126,66338512,66338512,272,66338240
