height,latency,throughput,/media/nvme/cxy_test/qmdb/data,/media/nvme/cxy_test/qmdb/data/ADS-0,/media/nvme/cxy_test/qmdb/data/ADS-0/metadb,/media/nvme/cxy_test/qmdb/data/ADS-0/data
1,58259,5149418.973892446,5767304,5767304,136,5767168
2,84957,3531198.1355273845,5767304,5767304,136,5767168
3,26014643,11531.966823454006,9428304,9428304,272,9428032
4,31934610,9394.19645331507,12788304,12788304,272,12788032
5,12861756,23324.96433612953,16148304,16148304,272,16148032
6,21330253,14064.530786390578,19508304,19508304,272,19508032
7,21635652,13866.002281789335,22868304,22868304,272,22868032
8,22790475,13163.39391785384,26228304,26228304,272,26228032
9,20260304,14807.280285626513,29588304,29588304,272,29588032
10,19472478,15406.359683651974,32948304,32948304,272,32948032
11,18546049,16175.952085535848,36308304,36308304,272,36308032
12,27162440,11044.663145137183,39668304,39668304,272,39668032
13,7391400,40587.71004139946,43028304,43028304,272,43028032
14,20934467,14330.434111362854,46388304,46388304,272,46388032
15,26530529,11307.727787862807,49748304,49748304,272,49748032
16,17037310,17608.413534765758,53108304,53108304,272,53108032
17,24071613,12462.812525276142,56468304,56468304,272,56468032
18,11861692,25291.50141480659,59828304,59828304,272,59828032
19,16891546,17760.36367541491,63188304,63188304,272,63188032
20,28847671,10399.453044233624,66548304,66548304,272,66548032
21,23886501,12559.39494863647,69908304,69908304,272,69908032
22,13989022,21445.387676136328,73268304,73268304,272,73268032
23,26014230,11532.149904110174,76628304,76628304,272,76628032
24,22138927,13550.792231258543,79988304,79988304,272,79988032
25,20665675,14516.825605744792,83348304,83348304,272,83348032
26,21978979,13649.405643455959,86708304,86708304,272,86708032
27,16290253,18415.920243841516,90068304,90068304,272,90068032
28,12896751,23261.672649181175,93428304,93428304,272,93428032
29,12798224,23440.75240439611,96788304,96788304,272,96788032
30,19907051,15070.03724459238,100148304,100148304,272,100148032
31,16842588,17811.98946385199,103508304,103508304,272,103508032
32,28653578,10469.896639086399,106868304,106868304,272,106868032
33,15904834,18862.189948037183,110228304,110228304,272,110228032
34,27584225,10875.781356916861,113588304,113588304,272,113588032
35,23012072,13036.635727543351,116948304,116948304,272,116948032
36,22088585,13581.675784121075,120308304,120308304,272,120308032
37,23994187,12503.028337655283,123668304,123668304,272,123668032
38,15959810,18797.216257587028,127028304,127028304,272,127028032
39,14504769,20682.85265349624,130388304,130388304,272,130388032
40,22059846,13599.369642018353,133748304,133748304,272,133748032
41,22517287,13323.097049835535,137108304,137108304,272,137108032
42,10913040,27490.04860240593,140468304,140468304,272,140468032
43,10346327,28995.797252493565,143828304,143828304,272,143828032
44,14611168,20532.23944861903,147188304,147188304,272,147188032
45,14664576,20457.461572704182,150548304,150548304,272,150548032
46,23699554,12658.466062272733,153908304,153908304,272,153908032
47,23813174,12598.068615296726,157268304,157268304,272,157268032
48,20724688,14475.489329441292,160628304,160628304,272,160628032
49,14169083,21172.859245725358,163988304,163988304,272,163988032
50,21899891,13698.698317722221,167348304,167348304,272,167348032
51,26799462,11194.254571229825,170708304,170708304,272,170708032
52,15666855,19148.70597832175,174068304,174068304,272,174068032
53,23298475,12876.379247997991,177428304,177428304,272,177428032
