height,latency,throughput,/media/nvme/cxy_test/qmdb/data,/media/nvme/cxy_test/qmdb/data/ADS-0,/media/nvme/cxy_test/qmdb/data/ADS-0/metadb,/media/nvme/cxy_test/qmdb/data/ADS-0/data
1,79115,5055931.239335145,5767304,5767304,136,5767168
2,63700,6279434.850863422,5767304,5767304,136,5767168
3,41715428,9588.778520982692,10649616,10649616,272,10649344
4,26737974,14959.996595104774,15129616,15129616,272,15129344
5,28855103,13862.366043191736,19609616,19609616,272,19609344
6,27115155,14751.89796997288,24089616,24089616,272,24089344
7,28683888,13945.110927779386,28569616,28569616,272,28569344
8,28011718,14279.738215271194,33049616,33049616,272,33049344
9,28405196,14081.93064395683,37529616,37529616,272,37529344
10,27297513,14653.349556056626,42009616,42009616,272,42009344
11,31897834,12540.036417519761,46489616,46489616,272,46489344
12,35885499,11146.563685794086,50969616,50969616,272,50969344
13,25966446,15404.495478510997,55449616,55449616,272,55449344
14,28846963,13866.277708332762,59929616,59929616,272,59929344
15,28797505,13890.092214585951,64409616,64409616,272,64409344
16,28616427,13977.985441718492,68889616,68889616,272,68889344
17,28164164,14202.445348635238,73369616,73369616,272,73369344
18,28955090,13814.49686393653,77849616,77849616,272,77849344
19,29963072,13349.76600530146,82329616,82329616,272,82329344
20,25212835,15864.935458467879,86809616,86809616,272,86809344
21,28039010,14265.838915140013,91289616,91289616,272,91289344
22,30129118,13276.1934816678,95769616,95769616,272,95769344
23,28067059,14251.582255198167,100249616,100249616,272,100249344
24,30463156,13130.61588234653,104729616,104729616,272,104729344
25,32854106,12175.038334630077,109209616,109209616,272,109209344
26,27906601,14333.526322320658,113689616,113689616,272,113689344
27,29519894,13550.184157165335,118169616,118169616,272,118169344
28,31798761,12579.106462670039,122649616,122649616,272,122649344
29,21094561,18962.233914230306,127129616,127129616,272,127129344
30,28936930,13823.16645200441,131609616,131609616,272,131609344
31,24579420,16273.77700531583,136089616,136089616,272,136089344
32,27437326,14578.680152723337,140569616,140569616,272,140569344
33,29328501,13638.61044244982,145049616,145049616,272,145049344
34,28686698,13943.744937113363,149529616,149529616,272,149529344
35,29138753,13727.423407583708,154009616,154009616,272,154009344
36,30071273,13301.731522972108,158489616,158489616,272,158489344
37,28956856,13813.654355293267,162969616,162969616,272,162969344
38,28102676,14233.51996799166,167449616,167449616,272,167449344
39,30602101,13070.997968407464,171929616,171929616,272,171929344
40,30857353,12962.874683385837,176409616,176409616,272,176409344
41,29992557,13336.642154251804,180889616,180889616,272,180889344
42,37071473,10789.967800847839,185369616,185369616,272,185369344
43,31730050,12606.346349911204,189849616,189849616,272,189849344
44,29789048,13427.753716735091,194329616,194329616,272,194329344
45,27086321,14767.601698288963,198809616,198809616,272,198809344
46,29331079,13637.411702447087,203289616,203289616,272,203289344
47,25147633,15906.069569251309,207769616,207769616,272,207769344
48,30150403,13266.821010651167,212249616,212249616,272,212249344
49,27165287,14724.674177011271,216729616,216729616,272,216729344
50,30619383,13063.620517761576,221209616,221209616,272,221209344
51,30687425,13034.65507451342,225689616,225689616,272,225689344
52,27406047,14595.319054951631,230169616,230169616,272,230169344
53,24019707,16652.992478217988,234649616,234649616,272,234649344
54,33244830,12031.946019877376,239129616,239129616,272,239129344
55,29806214,13420.02040245702,243609616,243609616,272,243609344
56,32603279,12268.704629371789,248089616,248089616,272,248089344
57,32526634,12297.61431816154,252569616,252569616,272,252569344
58,28928113,13827.379615116963,257049616,257049616,272,257049344
59,31661283,12633.726813913385,261529616,261529616,272,261529344
60,30410590,13153.31271113122,266009616,266009616,272,266009344
61,30145981,13268.76707047616,270489616,270489616,272,270489344
62,34615311,11555.580130422633,274969616,274969616,272,274969344
63,29376814,13616.180433998052,279449616,279449616,272,279449344
64,29794516,13425.289405607395,283929616,283929616,272,283929344
65,32512820,12302.839310770336,288409616,288409616,272,288409344
66,38716381,10331.544159563882,292889616,292889616,272,292889344
67,26844712,14900.513739912725,297369616,297369616,272,297369344
68,28005654,14282.830174221248,301849616,301849616,272,301849344
69,29714090,13461.62712706329,306329616,306329616,272,306329344
70,28858493,13860.7376344981,310809616,310809616,272,310809344
71,29528266,13546.342341944495,315289616,315289616,272,315289344
72,27565908,14510.677464351982,319769616,319769616,272,319769344
73,21436050,18660.154272825454,324249616,324249616,272,324249344
74,37773074,10589.553818150993,328729616,328729616,272,328729344
75,30009220,13329.236814552329,333209616,333209616,272,333209344
76,33537074,11927.098947272503,337689616,337689616,272,337689344
77,32373943,12355.615749369794,342169616,342169616,272,342169344
78,30588919,13076.630789077573,346649616,346649616,272,346649344
79,29169011,13713.18348777749,351129616,351129616,272,351129344
80,33171451,12058.562044813776,355609616,355609616,272,355609344
81,30075509,13299.858033990382,360089616,360089616,272,360089344
82,30011628,13328.167335674027,364569616,364569616,272,364569344
83,33805301,11832.463790220356,369049616,369049616,272,369049344
84,30247846,13224.082137947938,373529616,373529616,272,373529344
85,26312716,15201.775445757861,378009616,378009616,272,378009344
86,30471344,13127.087535095268,382489616,382489616,272,382489344
87,30440132,13140.547485142311,386969616,386969616,272,386969344
88,30143417,13269.895712221345,391449616,391449616,272,391449344
89,29053204,13767.84467558208,395929616,395929616,272,395929344
90,38775930,10315.677792898841,400409616,400409616,272,400409344
91,31486940,12703.679684338967,404889616,404889616,272,404889344
92,28955469,13814.316045096695,409369616,409369616,272,409369344
93,33225728,12038.863377199741,413849616,413849616,272,413849344
94,31153435,12839.675624854852,418329616,418329616,272,418329344
95,27958254,14307.045067978852,422809616,422809616,272,422809344
96,31102848,12860.558621512731,427289616,427289616,272,427289344
97,30688636,13034.140715801119,431769616,431769616,272,431769344
98,30109239,13284.958812808254,436249616,436249616,272,436249344
99,29774912,13434.128705401381,440729616,440729616,272,440729344
100,30774995,12997.565068653952,445209616,445209616,272,445209344
101,30174774,13256.105911514036,449689616,449689616,272,449689344
