height,operation,latency,throughput
3242,LOAD,213628226,2340.5146846091397
3243,LOAD,213472484,2342.222241626232
3244,LOAD,210875829,2371.0635892746154
3245,LOAD,226891735,2203.694198027971
3246,LOAD,214296605,2333.2147515822753
3247,LOAD,214180354,2334.4811541398426
3248,LOAD,213004570,2347.367476669632
3249,LOAD,210054320,2380.3366672011316
3250,LOAD,214117003,2335.171859284804
3251,LOAD,211518215,2363.8626110758355
3252,LOAD,209561816,2385.9308415231526
3253,LOAD,219494704,2277.9592896236804
3254,LOAD,205312436,2435.3127834886727
3255,LOAD,213014400,2347.2591524328873
3256,LOAD,205605078,2431.846551961134
3257,LOAD,214803081,2327.7133534225236
3258,LOAD,215457968,2320.6382416082192
3259,LOAD,209082347,2391.4022736697134
3260,LOAD,222763156,2244.5363451395883
3261,LOAD,204087555,2449.9289042881624
3262,LOAD,213713861,2339.576841953176
3263,LOAD,217956048,2294.040493888933
3264,LOAD,225060605,2221.6238155051615
3265,LOAD,211848105,2360.181602757315
3266,LOAD,225564138,2216.6644238456024
3267,LOAD,210531069,2374.94637905439
3268,LOAD,205004268,2438.973612003044
3269,LOAD,220144771,2271.2326880568967
3270,LOAD,219766873,2275.138164249168
3271,LOAD,217492600,2298.92879114048
3272,LOAD,212257842,2355.625569772824
3273,LOAD,219656720,2276.279095854659
3274,LOAD,217525316,2298.5830302161244
3275,LOAD,209278260,2389.1635949190327
3276,LOAD,216962668,2304.5439319542293
3277,LOAD,214846211,2327.2460690498283
3278,LOAD,206977194,2415.725087083749
3279,LOAD,225486515,2217.4275033697695
3280,LOAD,215715048,2317.87260386211
3281,LOAD,210747793,2372.5040859621245
3282,LOAD,209956367,2381.447188977127
3283,LOAD,212436077,2353.649187374139
3284,LOAD,207164930,2413.535920389614
3285,LOAD,215382068,2321.4560276206466
3286,LOAD,213024522,2347.1476208734316
3287,LOAD,209435861,2387.3657434435263
3288,LOAD,215275906,2322.6008395012864
3289,LOAD,214118669,2335.1536899381717
3290,LOAD,216753714,2306.765548663217
3291,LOAD,213192289,2345.300584487838
3292,LOAD,218475017,2288.5911939304256
3293,LOAD,204734276,2442.1899926517435
3294,LOAD,217457516,2299.299694014715
3295,LOAD,215422992,2321.01501960385
3296,LOAD,214979299,2325.8053325404135
3297,LOAD,218796904,2285.224291839157
3298,LOAD,215367773,2321.6101138771587
3299,LOAD,215925947,2315.608693382273
3300,LOAD,220452316,2268.064174023012
3301,LOAD,215142204,2324.0442400599372
3302,LOAD,214993281,2325.6540747429217
3303,LOAD,220977138,2262.6775082949985
3304,LOAD,207393863,2410.8717238175946
3305,LOAD,209917909,2381.8834818900564
3306,LOAD,215092229,2324.584213593323
3307,LOAD,213526248,2341.632491008787
3308,LOAD,219106005,2282.000440836845
3309,LOAD,210518273,2375.0907361851673
3310,LOAD,226593060,2206.598913488348
3311,LOAD,214510491,2330.8883293731305
3312,LOAD,231732866,2157.65682542415
3313,LOAD,217198599,2302.0406314867623
3314,LOAD,218207176,2291.4003524797004
3315,LOAD,225091536,2221.31853060881
3316,LOAD,206913844,2416.464700158004
3317,LOAD,216566967,2308.754686489191
3318,LOAD,215194530,2323.4791330430194
3319,LOAD,210759761,2372.369363239124
3320,LOAD,214319911,2332.9610285252497
3321,LOAD,210199200,2378.696017872571
3322,LOAD,214106629,2335.2850041835927
3323,LOAD,218587927,2287.4090388349764
3324,LOAD,211395402,2365.2359288306566
3325,LOAD,214647986,2329.3952546100295
3326,LOAD,220280250,2269.8358114265807
3327,LOAD,215879362,2316.1083827920525
3328,LOAD,214991125,2325.677397148371
3329,LOAD,235958345,2119.0180834672324
3330,LOAD,226863914,2203.9644436355793
3331,LOAD,218977256,2283.3421567763185
3332,LOAD,219466863,2278.2482656618645
3333,LOAD,219886050,2273.905052184984
3334,LOAD,217990875,2293.6739897942975
3335,LOAD,220672704,2265.799036023957
3336,LOAD,217269674,2301.2875694746062
3337,LOAD,220343281,2269.186506304224
3338,LOAD,223561635,2236.5196962350005
3339,LOAD,219755032,2275.260754893658
3340,LOAD,234575364,2131.511133453895
3341,LOAD,222055443,2251.6899079118725
3342,LOAD,211158606,2367.888335084008
3343,LOAD,217401837,2299.888569938809
3344,LOAD,220748675,2265.0192577599846
3345,LOAD,227997846,2193.0031742492865
3346,LOAD,224335695,2228.8026878647197
3347,LOAD,230588760,2168.362412807979
3348,LOAD,220072495,2271.978604141331
3349,LOAD,220249883,2270.1487655273804
3350,LOAD,221279595,2259.5847574648715
3351,LOAD,235074703,2126.983438111586
3352,LOAD,214746928,2328.3220144597367
3353,LOAD,223213628,2240.006600313848
3354,LOAD,222705958,2245.1128137308297
3355,LOAD,224701810,2225.171216911871
3356,LOAD,221381373,2258.5459346663283
3357,LOAD,226657908,2205.9675941242695
3358,LOAD,225148814,2220.7534257764287
3359,LOAD,229156057,2181.9191975362014
3360,LOAD,224393615,2228.227394081601
3361,LOAD,234732109,2130.0877929742455
3362,LOAD,217656517,2297.197469166522
3363,LOAD,222273502,2249.4809120342197
3364,LOAD,216782910,2306.4548769088856
3365,LOAD,211012093,2369.5324419155445
3366,LOAD,228986357,2183.536200805186
3367,LOAD,224073038,2231.4152762993285
3368,LOAD,220161089,2271.0643477967174
3369,LOAD,232154391,2153.739146807695
3370,LOAD,216888465,2305.332374407279
3371,LOAD,232564431,2149.9418369785017
3372,LOAD,218361880,2289.776951911204
3373,LOAD,224321781,2228.940933738396
3374,LOAD,218141448,2292.090772222251
